episode,steps,reward,success,avg_loss
192,80,0.0000,0,0.0090
193,80,0.0000,0,0.0075
194,80,0.0000,0,-0.0406
195,80,0.0000,0,-0.0275
196,80,0.0000,0,-0.0228
197,80,0.0000,0,-0.0104
198,80,0.0000,0,0.0838
199,80,0.0000,0,-0.0078
200,80,0.0000,0,-0.0152
201,80,0.0000,0,-0.0195
202,67,10.0000,1,0.4484
203,80,0.0000,0,-0.0149
204,80,0.0000,0,0.0482
205,54,10.0000,1,0.4781
206,38,10.0000,1,0.3878
207,53,10.0000,1,0.3304
208,80,0.0000,0,0.1190
209,39,10.0000,1,0.1838
210,41,10.0000,1,0.4305
211,80,0.0000,0,0.3011
212,80,0.0000,0,0.1417
213,59,10.0000,1,0.0135
214,80,0.0000,0,-0.1208
215,16,10.0000,1,-0.0152
216,80,0.0000,0,0.0800
217,80,0.0000,0,0.1064
218,51,10.0000,1,0.2983
219,80,0.0000,0,0.3050
220,80,0.0000,0,-0.0717
221,80,0.0000,0,-0.1546
222,80,0.0000,0,0.0112
223,80,0.0000,0,0.0521
224,25,10.0000,1,0.3055
225,80,0.0000,0,0.0104
226,18,10.0000,1,0.2186
227,22,10.0000,1,0.2184
228,80,0.0000,0,-0.0097
229,12,10.0000,1,0.0001
230,80,0.0000,0,0.0156
231,14,10.0000,1,0.0137
232,61,10.0000,1,0.3844
233,66,10.0000,1,0.2119
234,80,0.0000,0,0.2196
235,80,0.0000,0,0.1026
236,80,0.0000,0,-0.2838
237,80,0.0000,0,0.0454
238,80,0.0000,0,-0.1161
239,80,0.0000,0,0.0337
240,80,0.0000,0,0.2079
241,80,0.0000,0,0.1241
242,80,0.0000,0,0.0572
243,80,0.0000,0,-0.0171
244,80,0.0000,0,-0.0362
245,80,0.0000,0,0.0043
246,80,0.0000,0,-0.0020
247,80,0.0000,0,-0.0105
248,12,10.0000,1,0.3995
249,80,0.0000,0,-0.0363
250,80,0.0000,0,-0.0293
251,80,0.0000,0,-0.0169
252,80,0.0000,0,0.0014
253,12,10.0000,1,0.2953
254,80,0.0000,0,-0.0251
255,61,10.0000,1,0.4076
256,80,0.0000,0,0.0426
257,80,0.0000,0,-0.0704
258,80,0.0000,0,-0.0703
259,80,0.0000,0,0.0659
260,80,0.0000,0,-0.0465
261,80,0.0000,0,-0.0510
262,80,0.0000,0,-0.0148
263,80,0.0000,0,0.0041
264,80,0.0000,0,-0.0280
265,80,0.0000,0,0.0012
266,22,10.0000,1,0.3311
267,80,0.0000,0,0.0825
268,80,0.0000,0,0.0712
269,80,0.0000,0,-0.0000
270,80,0.0000,0,-0.0182
271,80,0.0000,0,-0.0211
272,80,0.0000,0,-0.0009
273,80,0.0000,0,-0.0213
274,80,0.0000,0,-0.0214
275,80,0.0000,0,-0.0033
276,68,10.0000,1,0.4504
277,80,0.0000,0,-0.0109
278,80,0.0000,0,0.0004
279,80,0.0000,0,0.0033
280,34,10.0000,1,0.4130
281,72,10.0000,1,0.4633
282,80,0.0000,0,0.0570
283,16,10.0000,1,0.3009
284,80,0.0000,0,-0.0085
285,80,0.0000,0,-0.0219
286,80,0.0000,0,-0.0479
287,80,0.0000,0,-0.0303
288,80,0.0000,0,0.0204
289,80,0.0000,0,0.0050
290,80,0.0000,0,0.0057
291,80,0.0000,0,-0.0274
292,80,0.0000,0,0.0262
293,80,0.0000,0,-0.0461
294,12,10.0000,1,0.2004
295,80,0.0000,0,0.0095
296,80,0.0000,0,-0.0286
297,80,0.0000,0,-0.0068
298,72,10.0000,1,0.4689
299,53,10.0000,1,0.4145
300,80,0.0000,0,-0.0055
301,12,10.0000,1,0.2398
302,80,0.0000,0,0.1236
303,80,0.0000,0,0.0490
304,74,10.0000,1,0.3365
305,22,10.0000,1,0.1789
306,80,0.0000,0,-0.0461
307,70,10.0000,1,0.4621
308,80,0.0000,0,-0.0576
309,80,0.0000,0,0.0144
310,80,0.0000,0,0.0026
311,80,0.0000,0,-0.0550
312,80,0.0000,0,-0.0033
313,80,0.0000,0,-0.0289
314,80,0.0000,0,-0.0093
315,80,0.0000,0,-0.0073
316,80,0.0000,0,0.3042
317,80,0.0000,0,0.2161
318,34,10.0000,1,0.2865
319,80,0.0000,0,-0.0344
320,80,0.0000,0,-0.0324
321,80,0.0000,0,-0.0453
322,80,0.0000,0,-0.0708
323,80,0.0000,0,-0.0067
324,80,0.0000,0,-0.0419
325,80,0.0000,0,-0.0234
326,37,10.0000,1,0.3813
327,80,0.0000,0,0.0161
328,43,10.0000,1,0.4184
329,80,0.0000,0,-0.0407
330,80,0.0000,0,-0.0037
331,80,0.0000,0,-0.0407
332,79,10.0000,1,0.4241
333,80,0.0000,0,-0.0044
334,80,0.0000,0,0.0379
335,67,10.0000,1,0.4252
336,80,0.0000,0,0.1381
337,80,0.0000,0,-0.0607
338,80,0.0000,0,-0.0169
339,80,0.0000,0,0.0734
340,80,0.0000,0,-0.0241
341,80,0.0000,0,-0.0269
342,71,10.0000,1,0.4057
343,26,10.0000,1,0.3291
344,54,10.0000,1,0.3496
345,74,10.0000,1,0.5278
346,80,0.0000,0,0.0800
347,80,0.0000,0,0.1209
348,80,0.0000,0,-0.0315
349,12,10.0000,1,0.0482
350,16,10.0000,1,0.1462
351,80,0.0000,0,0.0503
352,80,0.0000,0,0.0547
353,80,0.0000,0,0.0265
354,80,0.0000,0,0.0649
355,80,0.0000,0,0.0019
356,80,0.0000,0,-0.0152
357,80,0.0000,0,0.0321
358,80,0.0000,0,-0.0262
359,80,0.0000,0,-0.0162
360,24,10.0000,1,0.4045
361,80,0.0000,0,0.0027
362,79,10.0000,1,0.4396
363,24,10.0000,1,0.3294
364,80,0.0000,0,0.0099
365,80,0.0000,0,-0.0809
366,78,10.0000,1,0.3326
367,80,0.0000,0,-0.0961
368,34,10.0000,1,0.3331
369,80,0.0000,0,0.0977
370,80,0.0000,0,0.0850
371,74,10.0000,1,0.4654
372,59,10.0000,1,0.4190
373,55,10.0000,1,0.3326
374,65,10.0000,1,0.1738
375,80,0.0000,0,-0.3865
376,57,10.0000,1,0.1831
377,67,10.0000,1,0.1787
378,63,10.0000,1,0.4629
379,80,0.0000,0,0.0297
380,59,10.0000,1,0.2107
381,66,10.0000,1,0.5267
382,80,0.0000,0,0.0407
383,80,0.0000,0,-0.0306
384,15,10.0000,1,0.1054
385,80,0.0000,0,0.2954
386,18,10.0000,1,0.2324
387,80,0.0000,0,-0.1253
388,80,0.0000,0,-0.0552
389,80,0.0000,0,0.0664
390,80,0.0000,0,-0.0665
