episode,steps,reward,success,avg_loss
191,34,10.0000,1,0.5555
192,33,10.0000,1,0.2708
193,60,0.0000,0,-0.1084
194,60,0.0000,0,-0.0282
195,60,0.0000,0,-0.1004
196,60,0.0000,0,0.0066
197,60,0.0000,0,0.0064
198,60,0.0000,0,0.0382
199,60,0.0000,0,0.0146
200,31,10.0000,1,0.4599
201,60,0.0000,0,-0.0776
202,60,0.0000,0,-0.1016
203,60,0.0000,0,-0.1327
204,60,0.0000,0,-0.0452
205,60,0.0000,0,-0.0669
206,60,0.0000,0,0.0293
207,60,0.0000,0,-0.0392
208,53,10.0000,1,0.4484
209,23,10.0000,1,0.4861
210,60,0.0000,0,0.0747
211,60,0.0000,0,0.1213
212,60,0.0000,0,-0.1117
213,60,0.0000,0,-0.0006
214,60,0.0000,0,-0.1191
215,60,0.0000,0,-0.0903
216,60,0.0000,0,-0.0564
217,60,0.0000,0,-0.0130
218,60,0.0000,0,0.0149
219,60,0.0000,0,0.0024
220,60,0.0000,0,0.0095
221,60,0.0000,0,0.0595
222,60,0.0000,0,-0.0148
223,60,0.0000,0,-0.0089
224,60,0.0000,0,-0.0254
225,60,0.0000,0,-0.0213
226,60,0.0000,0,-0.0213
227,60,0.0000,0,-0.0176
228,60,0.0000,0,-0.0153
229,60,0.0000,0,-0.0039
230,60,0.0000,0,-0.0035
231,60,0.0000,0,-0.0131
232,60,0.0000,0,-0.0107
233,60,0.0000,0,-0.0072
234,60,0.0000,0,-0.0119
235,60,0.0000,0,-0.0145
236,60,0.0000,0,-0.0228
237,60,0.0000,0,-0.0047
238,60,0.0000,0,-0.0108
239,60,0.0000,0,-0.0056
240,60,0.0000,0,-0.0062
241,60,0.0000,0,-0.0285
242,60,0.0000,0,-0.0173
243,60,0.0000,0,-0.0157
244,60,0.0000,0,-0.0166
245,60,0.0000,0,-0.0053
246,60,0.0000,0,-0.0034
247,60,0.0000,0,-0.0028
248,60,0.0000,0,0.0158
249,60,0.0000,0,0.0001
250,60,0.0000,0,-0.0233
251,60,0.0000,0,-0.0276
252,60,0.0000,0,-0.0159
253,60,0.0000,0,-0.0214
254,60,0.0000,0,-0.0077
255,60,0.0000,0,-0.0038
256,60,0.0000,0,-0.0001
257,60,0.0000,0,0.0067
258,60,0.0000,0,-0.0050
259,60,0.0000,0,-0.0234
260,60,0.0000,0,-0.0115
261,60,0.0000,0,-0.0109
262,60,0.0000,0,-0.0154
263,60,0.0000,0,-0.0163
264,60,0.0000,0,-0.0084
265,60,0.0000,0,-0.0095
266,60,0.0000,0,-0.0068
267,60,0.0000,0,-0.0074
268,60,0.0000,0,-0.0149
269,60,0.0000,0,-0.0114
270,60,0.0000,0,-0.0112
271,60,0.0000,0,-0.0150
272,60,0.0000,0,-0.0093
273,60,0.0000,0,-0.0074
274,60,0.0000,0,-0.0089
275,60,0.0000,0,-0.0047
276,60,0.0000,0,-0.0136
277,60,0.0000,0,-0.0138
278,60,0.0000,0,-0.0138
279,60,0.0000,0,-0.0087
280,60,0.0000,0,-0.0079
281,60,0.0000,0,-0.0116
282,55,10.0000,1,0.4513
283,60,0.0000,0,-0.0484
284,60,0.0000,0,-0.0399
285,60,0.0000,0,-0.0413
286,60,0.0000,0,-0.0343
287,60,0.0000,0,-0.0279
288,60,0.0000,0,-0.0130
289,60,0.0000,0,-0.0386
290,60,0.0000,0,0.0138
291,60,0.0000,0,0.0117
292,60,0.0000,0,0.0133
293,60,0.0000,0,-0.0152
294,60,0.0000,0,0.0163
295,60,0.0000,0,-0.0277
296,60,0.0000,0,-0.0203
297,60,0.0000,0,-0.0072
298,60,0.0000,0,0.0051
299,60,0.0000,0,-0.0080
300,60,0.0000,0,-0.0166
301,60,0.0000,0,-0.0108
302,33,10.0000,1,0.4379
303,40,10.0000,1,0.4497
304,11,10.0000,1,0.6824
305,60,0.0000,0,-0.0123
306,60,0.0000,0,-0.1224
307,60,0.0000,0,-0.1278
308,60,0.0000,0,0.0580
309,60,0.0000,0,-0.0642
310,60,0.0000,0,-0.0355
311,60,0.0000,0,-0.0312
312,60,0.0000,0,-0.0348
313,60,0.0000,0,0.0411
314,60,0.0000,0,-0.0075
315,60,0.0000,0,-0.0494
316,60,0.0000,0,-0.0601
317,60,0.0000,0,-0.0609
318,60,0.0000,0,-0.0539
319,60,0.0000,0,-0.0032
320,60,0.0000,0,-0.0028
321,60,0.0000,0,0.0076
322,60,0.0000,0,-0.0026
323,60,0.0000,0,-0.0249
324,60,0.0000,0,-0.0017
325,60,0.0000,0,-0.0122
326,33,10.0000,1,0.4483
327,60,0.0000,0,-0.0095
328,60,0.0000,0,-0.0240
329,60,0.0000,0,-0.0281
330,60,0.0000,0,-0.0331
331,60,0.0000,0,-0.0209
332,60,0.0000,0,-0.0219
333,60,0.0000,0,-0.0057
334,60,0.0000,0,-0.0152
335,60,0.0000,0,-0.0055
336,60,0.0000,0,0.0020
337,60,0.0000,0,-0.0117
338,60,0.0000,0,-0.0273
339,60,0.0000,0,0.0115
340,60,0.0000,0,-0.0114
341,60,0.0000,0,-0.0106
342,60,0.0000,0,-0.0189
343,60,0.0000,0,-0.0142
344,60,0.0000,0,-0.0070
345,60,0.0000,0,-0.0038
346,60,0.0000,0,0.0022
347,60,0.0000,0,-0.0146
348,60,0.0000,0,-0.0143
349,60,0.0000,0,-0.0142
350,60,0.0000,0,-0.0102
351,60,0.0000,0,-0.0045
352,60,0.0000,0,-0.0061
353,60,0.0000,0,-0.0152
354,60,0.0000,0,-0.0087
355,60,0.0000,0,-0.0099
356,60,0.0000,0,-0.0150
357,60,0.0000,0,-0.0060
358,60,0.0000,0,-0.0074
359,60,0.0000,0,-0.0110
360,60,0.0000,0,-0.0165
361,60,0.0000,0,-0.0084
362,14,10.0000,1,0.5993
363,60,0.0000,0,-0.0463
364,60,0.0000,0,-0.0598
365,60,0.0000,0,-0.0539
366,60,0.0000,0,-0.0236
367,60,0.0000,0,-0.0236
368,60,0.0000,0,-0.0165
369,60,0.0000,0,0.0024
370,60,0.0000,0,-0.0033
371,60,0.0000,0,-0.0111
372,60,0.0000,0,-0.0183
373,60,0.0000,0,-0.0156
374,60,0.0000,0,-0.0049
375,60,0.0000,0,-0.0025
376,60,0.0000,0,-0.0133
377,60,0.0000,0,-0.0149
378,60,0.0000,0,-0.0123
379,60,0.0000,0,-0.0090
380,60,0.0000,0,-0.0111
381,60,0.0000,0,-0.0075
382,60,0.0000,0,-0.0166
383,60,0.0000,0,-0.0109
384,60,0.0000,0,-0.0120
385,60,0.0000,0,0.0234
386,60,0.0000,0,-0.0207
387,60,0.0000,0,-0.0243
388,60,0.0000,0,-0.0133
389,60,0.0000,0,-0.0079
390,60,0.0000,0,-0.0095
391,60,0.0000,0,-0.0063
392,60,0.0000,0,-0.0111
393,60,0.0000,0,-0.0143
394,60,0.0000,0,-0.0145
395,60,0.0000,0,-0.0065
396,60,0.0000,0,-0.0111
397,60,0.0000,0,-0.0100
398,60,0.0000,0,-0.0113
399,60,0.0000,0,-0.0112
400,60,0.0000,0,-0.0125
401,60,0.0000,0,-0.0112
402,60,0.0000,0,-0.0106
403,60,0.0000,0,-0.0103
404,60,0.0000,0,-0.0135
405,60,0.0000,0,-0.0082
406,60,0.0000,0,-0.0117
407,13,10.0000,1,0.4298
408,60,0.0000,0,-0.0390
409,60,0.0000,0,-0.0297
410,60,0.0000,0,-0.0125
411,60,0.0000,0,-0.0152
412,60,0.0000,0,-0.0346
413,60,0.0000,0,-0.0075
414,60,0.0000,0,0.0139
415,60,0.0000,0,0.0020
416,60,0.0000,0,-0.0225
417,60,0.0000,0,-0.0249
418,60,0.0000,0,-0.0170
419,60,0.0000,0,-0.0139
420,60,0.0000,0,-0.0088
421,60,0.0000,0,-0.0112
422,60,0.0000,0,-0.0097
423,60,0.0000,0,-0.0098
424,60,0.0000,0,-0.0054
425,60,0.0000,0,-0.0061
426,60,0.0000,0,-0.0084
427,60,0.0000,0,-0.0103
428,60,0.0000,0,-0.0081
429,60,0.0000,0,-0.0185
430,60,0.0000,0,-0.0178
431,60,0.0000,0,-0.0130
432,60,0.0000,0,-0.0123
433,47,10.0000,1,0.4483
434,60,0.0000,0,0.0014
435,60,0.0000,0,-0.0042
436,60,0.0000,0,0.0045
437,60,0.0000,0,0.2949
438,60,0.0000,0,-0.0458
439,60,0.0000,0,-0.0704
440,60,0.0000,0,-0.0624
441,60,0.0000,0,-0.0466
442,60,0.0000,0,-0.0348
443,60,0.0000,0,-0.0189
444,60,0.0000,0,-0.0071
445,60,0.0000,0,0.0055
446,60,0.0000,0,0.0022
447,60,0.0000,0,0.0007
448,60,0.0000,0,0.0211
449,60,0.0000,0,-0.0050
450,60,0.0000,0,-0.0058
451,60,0.0000,0,0.0011
452,58,10.0000,1,0.4520
453,51,10.0000,1,0.5334
454,60,0.0000,0,-0.0778
455,60,0.0000,0,-0.0672
456,51,10.0000,1,0.3625
457,60,0.0000,0,-0.0676
458,60,0.0000,0,0.0454
459,60,0.0000,0,-0.0001
460,60,0.0000,0,-0.0572
461,58,10.0000,1,0.3659
462,60,10.0000,1,0.5144
463,48,10.0000,1,0.3713
464,60,0.0000,0,-0.1702
465,60,0.0000,0,0.3185
466,60,0.0000,0,0.0156
467,60,0.0000,0,-0.2048
468,23,10.0000,1,0.3376
469,60,0.0000,0,-0.1700
470,23,10.0000,1,0.4661
471,60,0.0000,0,-0.1078
472,60,0.0000,0,-0.0649
473,26,10.0000,1,0.5388
474,60,0.0000,0,-0.0701
475,60,0.0000,0,-0.0248
476,60,0.0000,0,-0.0439
477,60,0.0000,0,-0.0367
478,60,0.0000,0,0.0045
479,60,0.0000,0,-0.0136
480,60,0.0000,0,-0.0322
481,60,0.0000,0,-0.0667
482,60,0.0000,0,0.0279
483,60,0.0000,0,0.0013
484,60,0.0000,0,0.0094
485,60,0.0000,0,-0.0193
486,60,0.0000,0,-0.0247
487,60,0.0000,0,-0.0158
488,60,0.0000,0,-0.0173
489,60,0.0000,0,-0.0168
490,60,0.0000,0,-0.0079
491,60,0.0000,0,-0.0069
492,60,0.0000,0,-0.0058
493,60,0.0000,0,-0.0134
494,60,0.0000,0,-0.0105
495,60,0.0000,0,-0.0116
496,60,0.0000,0,-0.0099
497,60,0.0000,0,-0.0103
498,60,0.0000,0,-0.0109
499,60,0.0000,0,-0.0125
500,60,0.0000,0,-0.0027
501,14,10.0000,1,0.4335
